Player,Pos,Tm,G,FG,FGA,PTS,Win_Shares,season
Joel Embiid,C,PHI,66,11,20.1,33.1,12.3,2022-23
Luka Dončić,PG,DAL,66,10.9,22,32.4,10.2,2022-23
Damian Lillard,PG,POR,58,9.6,20.7,32.2,9,2022-23
Shai Gilgeous-Alexander,PG,OKC,68,10.4,20.3,31.4,11.4,2022-23
Giannis Antetokounmpo,PF,MIL,63,11.2,20.3,31.1,8.6,2022-23
Jayson Tatum,SF,BOS,74,9.8,21.1,30.1,10.5,2022-23
Stephen Curry,PG,GSW,56,10,20.2,29.4,7.8,2022-23
Kevin Durant,PF,2TM,47,10.3,18.3,29.1,6.8,2022-23
Kevin Durant,PF,2TM,47,10.3,18.3,29.1,5.7,2022-23
Kevin Durant,PF,2TM,47,10.3,18.3,29.1,1.1,2022-23
Kevin Durant,PF,BRK,39,10.5,18.8,29.7,6.8,2022-23
Kevin Durant,PF,BRK,39,10.5,18.8,29.7,5.7,2022-23
Kevin Durant,PF,BRK,39,10.5,18.8,29.7,1.1,2022-23
Kevin Durant,PF,PHO,8,9.1,16,26,6.8,2022-23
Kevin Durant,PF,PHO,8,9.1,16,26,5.7,2022-23
Kevin Durant,PF,PHO,8,9.1,16,26,1.1,2022-23
LeBron James,PF,LAL,55,11.1,22.2,28.9,5.6,2022-23
Donovan Mitchell,SG,CLE,68,10,20.6,28.3,8.9,2022-23
Devin Booker,SG,PHO,53,9.9,20.1,27.8,6,2022-23
Kyrie Irving,SG,2TM,60,9.9,20.1,27.1,7.4,2022-23
Kyrie Irving,SG,2TM,60,9.9,20.1,27.1,4.3,2022-23
Kyrie Irving,SG,2TM,60,9.9,20.1,27.1,3.1,2022-23
Kyrie Irving,PG,BRK,40,10,20.5,27.1,7.4,2022-23
Kyrie Irving,PG,BRK,40,10,20.5,27.1,4.3,2022-23
Kyrie Irving,PG,BRK,40,10,20.5,27.1,3.1,2022-23
Kyrie Irving,SG,DAL,20,9.8,19.2,27,7.4,2022-23
Kyrie Irving,SG,DAL,20,9.8,19.2,27,4.3,2022-23
Kyrie Irving,SG,DAL,20,9.8,19.2,27,3.1,2022-23
Jaylen Brown,SF,BOS,67,10.1,20.6,26.6,5,2022-23
Ja Morant,PG,MEM,61,9.3,19.9,26.2,6,2022-23
Trae Young,PG,ATL,73,8.2,19,26.2,6.7,2022-23
Zion Williamson,PF,NOP,29,9.8,16.2,26,3.6,2022-23
Anthony Davis,C,LAL,56,9.7,17.2,25.9,9,2022-23
Lauri Markkanen,PF,UTA,66,8.7,17.3,25.6,8.2,2022-23
Julius Randle,PF,NYK,77,8.5,18.6,25.1,8.1,2022-23
De'Aaron Fox,PG,SAC,73,9.3,18.2,25,7.4,2022-23
Zach LaVine,SG,CHI,77,8.7,18,24.8,7.1,2022-23
Brandon Ingram,SF,NOP,45,9,18.6,24.7,3.5,2022-23
Anthony Edwards,SG,MIN,79,8.9,19.5,24.6,3.8,2022-23
DeMar DeRozan,SF,CHI,74,8.9,17.6,24.5,8.5,2022-23
Nikola Jokić,C,DEN,69,9.4,14.8,24.5,14.9,2022-23
Pascal Siakam,PF,TOR,71,8.9,18.5,24.2,7.8,2022-23
Jalen Brunson,PG,NYK,68,8.6,17.6,24,8.7,2022-23
Paul George,SF,LAC,56,8.2,17.9,23.8,4.6,2022-23
Kawhi Leonard,SF,LAC,52,8.6,16.8,23.8,7.1,2022-23
LaMelo Ball,PG,CHO,36,8.2,20,23.3,1.8,2022-23
Bradley Beal,SG,WAS,50,8.9,17.6,23.2,3.4,2022-23
Kristaps Porziņģis,C,WAS,65,7.8,15.7,23.2,7.7,2022-23
Jimmy Butler,PF,MIA,64,7.5,13.9,22.9,12.3,2022-23
Jalen Green,SG,HOU,76,7.4,17.9,22.1,1.8,2022-23
Keldon Johnson,SF,SAS,63,8,17.7,22,1.3,2022-23
Klay Thompson,SF,GSW,69,7.9,18.1,21.9,3.1,2022-23
Bojan Bogdanović,PF,DET,59,7.3,14.9,21.6,3.5,2022-23
Darius Garland,PG,CLE,69,7.6,16.4,21.6,7.6,2022-23
Desmond Bane,SG,MEM,58,7.8,16.2,21.5,5.8,2022-23
Kyle Kuzma,PF,WAS,64,8,17.8,21.2,0.9,2022-23
Terry Rozier,SG,CHO,63,7.8,18.9,21.1,1.7,2022-23
Anfernee Simons,SG,POR,62,7.5,16.9,21.1,2.5,2022-23
James Harden,PG,PHI,58,6.4,14.5,21,8.4,2022-23
CJ McCollum,PG,NOP,75,7.8,17.9,20.9,4.3,2022-23
Jordan Clarkson,SG,UTA,61,7.5,16.9,20.8,1.7,2022-23
Karl-Anthony Towns,PF,MIN,29,7.3,14.8,20.8,2.7,2022-23
Tyrese Haliburton,PG,IND,56,7.4,15,20.7,7.6,2022-23
Jerami Grant,PF,POR,63,6.9,14.5,20.5,4.1,2022-23
Dejounte Murray,SG,ATL,74,8.3,17.8,20.5,4.7,2022-23
Bam Adebayo,C,MIA,75,8,14.9,20.4,7.4,2022-23
Jordan Poole,PG,GSW,82,6.7,15.6,20.4,3.2,2022-23
Tyrese Maxey,SG,PHI,60,7.3,15.2,20.3,5.4,2022-23
Kelly Oubre Jr.,SF,CHO,48,7.4,17.1,20.3,1.7,2022-23
Mikal Bridges,SG,2TM,83,7.1,15.3,20.1,7.5,2022-23
Mikal Bridges,SG,2TM,83,7.1,15.3,20.1,4.9,2022-23
Mikal Bridges,SG,2TM,83,7.1,15.3,20.1,2.5,2022-23
Mikal Bridges,SF,PHO,56,6.3,13.6,17.2,7.5,2022-23
Mikal Bridges,SF,PHO,56,6.3,13.6,17.2,4.9,2022-23
Mikal Bridges,SF,PHO,56,6.3,13.6,17.2,2.5,2022-23
Mikal Bridges,SG,BRK,27,8.9,18.6,26.1,7.5,2022-23
Mikal Bridges,SG,BRK,27,8.9,18.6,26.1,4.9,2022-23
Mikal Bridges,SG,BRK,27,8.9,18.6,26.1,2.5,2022-23
Tyler Herro,SG,MIA,67,7.3,16.6,20.1,3.5,2022-23
Paolo Banchero,PF,ORL,72,6.7,15.6,20,2.4,2022-23
Louis King,PF,PHI,1,8,13,20,0.1,2022-23
Jamal Murray,PG,DEN,65,7.3,16,20,5.1,2022-23
Cade Cunningham,PG,DET,12,7.8,18.7,19.9,-0.1,2022-23
RJ Barrett,SG,NYK,73,7,16.1,19.6,2.2,2022-23
Jrue Holiday,PG,MIL,67,7.3,15.3,19.3,6.7,2022-23
Fred VanVleet,PG,TOR,69,6.3,16.1,19.3,6.5,2022-23
Kevin Porter Jr.,PG,HOU,59,6.6,15,19.2,2.9,2022-23
Domantas Sabonis,C,SAC,79,7.3,11.9,19.1,12.6,2022-23
Jaren Jackson Jr.,C,MEM,63,6.6,13,18.6,6.6,2022-23
Franz Wagner,SF,ORL,80,6.8,14,18.6,5.4,2022-23
Devin Vassell,SG,SAS,38,6.9,15.7,18.5,1.2,2022-23
Deandre Ayton,C,PHO,67,7.8,13.2,18,6.2,2022-23
Myles Turner,C,IND,62,6.5,11.8,18,5.4,2022-23
D'Angelo Russell,PG,2TM,71,6.3,13.4,17.8,5.1,2022-23
D'Angelo Russell,PG,2TM,71,6.3,13.4,17.8,3.8,2022-23
D'Angelo Russell,PG,2TM,71,6.3,13.4,17.8,1.3,2022-23
D'Angelo Russell,PG,MIN,54,6.3,13.5,17.9,5.1,2022-23
D'Angelo Russell,PG,MIN,54,6.3,13.5,17.9,3.8,2022-23
D'Angelo Russell,PG,MIN,54,6.3,13.5,17.9,1.3,2022-23
D'Angelo Russell,PG,LAL,17,6.3,13,17.4,5.1,2022-23
D'Angelo Russell,PG,LAL,17,6.3,13,17.4,3.8,2022-23
D'Angelo Russell,PG,LAL,17,6.3,13,17.4,1.3,2022-23
Nikola Vučević,C,CHI,82,7.3,14,17.6,8.3,2022-23
Michael Porter Jr.,SF,DEN,62,6.4,13.2,17.4,4.3,2022-23
Gary Trent Jr.,SG,TOR,66,6.1,14.2,17.4,4.5,2022-23
Spencer Dinwiddie,SG,2TM,79,5.8,13.3,17.3,6.3,2022-23
Spencer Dinwiddie,SG,2TM,79,5.8,13.3,17.3,4.3,2022-23
Spencer Dinwiddie,SG,2TM,79,5.8,13.3,17.3,2,2022-23
Spencer Dinwiddie,SG,DAL,53,6,13.1,17.7,6.3,2022-23
Spencer Dinwiddie,SG,DAL,53,6,13.1,17.7,4.3,2022-23
Spencer Dinwiddie,SG,DAL,53,6,13.1,17.7,2,2022-23
Spencer Dinwiddie,PG,BRK,26,5.5,13.7,16.5,6.3,2022-23
Spencer Dinwiddie,PG,BRK,26,5.5,13.7,16.5,4.3,2022-23
Spencer Dinwiddie,PG,BRK,26,5.5,13.7,16.5,2,2022-23
Andrew Wiggins,SF,GSW,37,6.8,14.3,17.1,2.3,2022-23
Norman Powell,SG,LAC,60,5.7,11.8,17,3.5,2022-23
OG Anunoby,SF,TOR,67,6.3,13.2,16.8,4.7,2022-23
Buddy Hield,SF,IND,80,5.9,13,16.8,4.4,2022-23
Bennedict Mathurin,SG,IND,78,5.3,12.2,16.7,1.8,2022-23
Josh Giddey,PF,OKC,76,7.1,14.7,16.6,4,2022-23
Christian Wood,C,DAL,67,5.9,11.5,16.6,4.8,2022-23
Aaron Gordon,PF,DEN,68,6.3,11.2,16.3,6.8,2022-23
Jaden Ivey,SG,DET,74,5.5,13.3,16.3,0,2022-23
Evan Mobley,PF,CLE,79,6.6,12,16.2,8.5,2022-23
RaiQuan Gray,PF,BRK,1,6,12,16,0.1,2022-23
Brook Lopez,C,MIL,78,6.1,11.5,15.9,8,2022-23
Russell Westbrook,PG,2TM,73,5.9,13.6,15.9,1.9,2022-23
Russell Westbrook,PG,2TM,73,5.9,13.6,15.9,0.7,2022-23
Russell Westbrook,PG,2TM,73,5.9,13.6,15.9,1.2,2022-23
Russell Westbrook,PG,LAL,52,5.8,14,15.9,1.9,2022-23
Russell Westbrook,PG,LAL,52,5.8,14,15.9,0.7,2022-23
Russell Westbrook,PG,LAL,52,5.8,14,15.9,1.2,2022-23
Russell Westbrook,PG,LAC,21,6.1,12.5,15.8,1.9,2022-23
Russell Westbrook,PG,LAC,21,6.1,12.5,15.8,0.7,2022-23
Russell Westbrook,PG,LAC,21,6.1,12.5,15.8,1.2,2022-23
P.J. Washington,PF,CHO,73,5.9,13.4,15.7,2.6,2022-23
Cameron Johnson,PF,2TM,42,5.3,11.3,15.5,3.5,2022-23
Cameron Johnson,PF,2TM,42,5.3,11.3,15.5,1.4,2022-23
Cameron Johnson,PF,2TM,42,5.3,11.3,15.5,2.1,2022-23
Cameron Johnson,PF,PHO,17,4.8,10.2,13.9,3.5,2022-23
Cameron Johnson,PF,PHO,17,4.8,10.2,13.9,1.4,2022-23
Cameron Johnson,PF,PHO,17,4.8,10.2,13.9,2.1,2022-23
Cameron Johnson,PF,BRK,25,5.6,12,16.6,3.5,2022-23
Cameron Johnson,PF,BRK,25,5.6,12,16.6,1.4,2022-23
Cameron Johnson,PF,BRK,25,5.6,12,16.6,2.1,2022-23
De'Andre Hunter,SF,ATL,67,5.7,12.3,15.4,2.5,2022-23
Scottie Barnes,SF,TOR,77,6,13.2,15.3,5,2022-23
Skylar Mays,PG,POR,6,5.7,11.3,15.3,0.7,2022-23
Wendell Carter Jr.,C,ORL,57,5.6,10.8,15.2,4.6,2022-23
Kevin Huerter,SG,SAC,75,5.6,11.5,15.2,4.9,2022-23
Khris Middleton,SF,MIL,33,5.4,12.3,15.1,1.9,2022-23
Harrison Barnes,PF,SAC,82,4.6,9.6,15,6.5,2022-23
Malcolm Brogdon,PG,BOS,67,5.3,10.9,14.9,5.8,2022-23
Immanuel Quickley,SG,NYK,81,5.2,11.6,14.9,6.7,2022-23
Alperen Şengün,C,HOU,75,5.9,10.7,14.8,5.2,2022-23
Tobias Harris,SF,PHI,74,5.7,11.4,14.7,5.9,2022-23
Gordon Hayward,SF,CHO,50,5.5,11.6,14.7,2,2022-23
Trey Murphy III,SF,NOP,79,4.9,10.1,14.5,7.6,2022-23
Tim Hardaway Jr.,SF,DAL,71,4.8,11.9,14.4,2.3,2022-23
Jarrett Allen,C,CLE,68,5.9,9.2,14.3,9.5,2022-23
Dillon Brooks,SF,MEM,73,5.4,13.6,14.3,1.6,2022-23
Collin Sexton,PG,UTA,48,4.9,9.8,14.3,2.5,2022-23
Bobby Portis,PF,MIL,70,5.7,11.5,14.1,5.3,2022-23
Jonas Valančiūnas,C,NOP,79,5.6,10.3,14.1,5.8,2022-23
Jalen Williams,SG,OKC,75,5.5,10.6,14.1,5.6,2022-23
Bogdan Bogdanović,SG,ATL,54,5.1,11.3,14,2.8,2022-23
Markelle Fultz,PG,ORL,60,5.8,11.3,14,3.7,2022-23
Chris Paul,PG,PHO,59,5,11.3,13.9,6.2,2022-23
Saddiq Bey,SF,2TM,77,4.6,10.9,13.8,3.9,2022-23
Saddiq Bey,SF,2TM,77,4.6,10.9,13.8,2.3,2022-23
Saddiq Bey,SF,2TM,77,4.6,10.9,13.8,1.6,2022-23
Saddiq Bey,SF,DET,52,4.7,11.7,14.8,3.9,2022-23
Saddiq Bey,SF,DET,52,4.7,11.7,14.8,2.3,2022-23
Saddiq Bey,SF,DET,52,4.7,11.7,14.8,1.6,2022-23
Saddiq Bey,SF,ATL,25,4.3,9.2,11.6,3.9,2022-23
Saddiq Bey,SF,ATL,25,4.3,9.2,11.6,2.3,2022-23
Saddiq Bey,SF,ATL,25,4.3,9.2,11.6,1.6,2022-23
Luguentz Dort,SF,OKC,74,4.6,11.8,13.7,2.9,2022-23
Malik Monk,SG,SAC,77,4.6,10.3,13.5,3.2,2022-23
Rudy Gobert,C,MIN,70,5.1,7.8,13.4,7.8,2022-23
Jusuf Nurkić,C,POR,52,5,9.7,13.3,2.7,2022-23
Kris Dunn,PG,UTA,22,5.3,9.8,13.2,1.9,2022-23
John Collins,PF,ATL,71,5.1,10,13.1,4.2,2022-23
Cole Anthony,PG,ORL,60,4.6,10.2,13,3.7,2022-23
Austin Reaves,SG,LAL,64,4,7.7,13,5.4,2022-23
Tre Jones,PG,SAS,68,5,10.9,12.9,3.4,2022-23
Alec Burks,SG,DET,51,3.9,9,12.8,2.5,2022-23
Jabari Smith Jr.,PF,HOU,79,4.6,11.3,12.8,1.9,2022-23
Malik Beasley,SG,2TM,81,4.6,11.6,12.7,1.4,2022-23
Malik Beasley,SG,2TM,81,4.6,11.6,12.7,1.2,2022-23
Malik Beasley,SG,2TM,81,4.6,11.6,12.7,0.2,2022-23
Malik Beasley,SG,UTA,55,4.8,12.2,13.4,1.4,2022-23
Malik Beasley,SG,UTA,55,4.8,12.2,13.4,1.2,2022-23
Malik Beasley,SG,UTA,55,4.8,12.2,13.4,0.2,2022-23
Malik Beasley,SG,LAL,26,4,10.3,11.1,1.4,2022-23
Malik Beasley,SG,LAL,26,4,10.3,11.1,1.2,2022-23
Malik Beasley,SG,LAL,26,4,10.3,11.1,0.2,2022-23
KJ Martin,SF,HOU,82,5,8.8,12.7,4.9,2022-23
Nic Claxton,C,BRK,76,5.4,7.7,12.6,9.2,2022-23
Dennis Schröder,PG,LAL,66,4.1,9.8,12.6,2.8,2022-23
Jakob Poeltl,C,2TM,72,5.4,8.6,12.5,6,2022-23
Jakob Poeltl,C,2TM,72,5.4,8.6,12.5,2.9,2022-23
Jakob Poeltl,C,2TM,72,5.4,8.6,12.5,3.1,2022-23
Jakob Poeltl,C,SAS,46,5.2,8.4,12.1,6,2022-23
Jakob Poeltl,C,SAS,46,5.2,8.4,12.1,2.9,2022-23
Jakob Poeltl,C,SAS,46,5.2,8.4,12.1,3.1,2022-23
Jakob Poeltl,C,TOR,26,5.8,8.8,13.1,6,2022-23
Jakob Poeltl,C,TOR,26,5.8,8.8,13.1,2.9,2022-23
Jakob Poeltl,C,TOR,26,5.8,8.8,13.1,3.1,2022-23
Mac McClung,SG,PHI,2,4.5,10,12.5,0.1,2022-23
Kelly Olynyk,C,UTA,68,4.1,8.2,12.5,4.3,2022-23
Eric Gordon,SG,2TM,69,4.2,9.5,12.4,2.3,2022-23
Eric Gordon,SG,2TM,69,4.2,9.5,12.4,1.1,2022-23
Eric Gordon,SG,2TM,69,4.2,9.5,12.4,1.2,2022-23
Eric Gordon,SG,HOU,47,4.5,10.2,13.1,2.3,2022-23
Eric Gordon,SG,HOU,47,4.5,10.2,13.1,1.1,2022-23
Eric Gordon,SG,HOU,47,4.5,10.2,13.1,1.2,2022-23
Eric Gordon,SG,LAC,22,3.7,8,11,2.3,2022-23
Eric Gordon,SG,LAC,22,3.7,8,11,1.1,2022-23
Eric Gordon,SG,LAC,22,3.7,8,11,1.2,2022-23
Derrick White,SG,BOS,82,4.3,9.2,12.4,7.4,2022-23
Keegan Murray,SF,SAC,80,4.4,9.8,12.2,4.3,2022-23
Caris LeVert,SG,CLE,74,4.3,10,12.1,4.4,2022-23
Jaden McDaniels,SF,MIN,79,4.7,9.1,12.1,4.4,2022-23
Marvin Bagley III,C,DET,42,4.8,9.1,12,2,2022-23
Clint Capela,C,ATL,65,5.4,8.2,12,7.2,2022-23
Mike Conley,PG,2TM,67,3.9,9.1,11.9,5.5,2022-23
Mike Conley,PG,2TM,67,3.9,9.1,11.9,3,2022-23
Mike Conley,PG,2TM,67,3.9,9.1,11.9,2.5,2022-23
Mike Conley,PG,UTA,43,3.6,8.7,10.7,5.5,2022-23
Mike Conley,PG,UTA,43,3.6,8.7,10.7,3,2022-23
Mike Conley,PG,UTA,43,3.6,8.7,10.7,2.5,2022-23
Mike Conley,PG,MIN,24,4.5,9.8,14,5.5,2022-23
Mike Conley,PG,MIN,24,4.5,9.8,14,3,2022-23
Mike Conley,PG,MIN,24,4.5,9.8,14,2.5,2022-23
Bones Hyland,PG,2TM,56,4.1,10.2,11.8,1.4,2022-23
Bones Hyland,PG,2TM,56,4.1,10.2,11.8,0.9,2022-23
Bones Hyland,PG,2TM,56,4.1,10.2,11.8,0.5,2022-23
Bones Hyland,PG,DEN,42,4.1,10.3,12.1,1.4,2022-23
Bones Hyland,PG,DEN,42,4.1,10.3,12.1,0.9,2022-23
Bones Hyland,PG,DEN,42,4.1,10.3,12.1,0.5,2022-23
Bones Hyland,PG,LAC,14,3.9,9.8,10.8,1.4,2022-23
Bones Hyland,PG,LAC,14,3.9,9.8,10.8,0.9,2022-23
Bones Hyland,PG,LAC,14,3.9,9.8,10.8,0.5,2022-23
Lonnie Walker IV,SG,LAL,56,4.2,9.4,11.7,1.8,2022-23
Zach Collins,C,SAS,63,4.5,8.7,11.6,2.2,2022-23
Bruce Brown,SF,DEN,80,4.5,9.3,11.5,4.3,2022-23
Naz Reid,C,MIN,68,4.6,8.5,11.5,3,2022-23
Marcus Smart,PG,BOS,61,4.1,9.9,11.5,3.7,2022-23
Max Strus,SF,MIA,80,4.1,9.9,11.5,3.4,2022-23
John Wall,PG,LAC,34,4.1,9.9,11.4,0.3,2022-23
Quentin Grimes,SG,NYK,71,4,8.5,11.3,4.8,2022-23
Isaiah Stewart,C,DET,50,3.9,8.8,11.3,2,2022-23
Rui Hachimura,PF,2TM,63,4.5,9.3,11.2,1.8,2022-23
Rui Hachimura,PF,2TM,63,4.5,9.3,11.2,0.6,2022-23
Rui Hachimura,PF,2TM,63,4.5,9.3,11.2,1.2,2022-23
Rui Hachimura,PF,WAS,30,5.3,10.8,13,1.8,2022-23
Rui Hachimura,PF,WAS,30,5.3,10.8,13,0.6,2022-23
Rui Hachimura,PF,WAS,30,5.3,10.8,13,1.2,2022-23
Rui Hachimura,PF,LAL,33,3.8,7.9,9.6,1.8,2022-23
Rui Hachimura,PF,LAL,33,3.8,7.9,9.6,0.6,2022-23
Rui Hachimura,PF,LAL,33,3.8,7.9,9.6,1.2,2022-23
Kyle Lowry,PG,MIA,55,3.6,8.8,11.2,3.4,2022-23
Marcus Morris,PF,LAC,65,4.2,9.9,11.2,2,2022-23
Corey Kispert,SF,WAS,74,3.9,7.9,11.1,3.8,2022-23
Jeremy Sochan,PF,SAS,56,4.5,9.9,11,0.2,2022-23
Mason Plumlee,C,2TM,79,4.2,6.1,10.8,7.9,2022-23
Mason Plumlee,C,2TM,79,4.2,6.1,10.8,6.1,2022-23
Mason Plumlee,C,2TM,79,4.2,6.1,10.8,1.8,2022-23
Mason Plumlee,C,CHO,56,4.7,7.1,12.2,7.9,2022-23
Mason Plumlee,C,CHO,56,4.7,7.1,12.2,6.1,2022-23
Mason Plumlee,C,CHO,56,4.7,7.1,12.2,1.8,2022-23
Mason Plumlee,C,LAC,23,2.8,3.8,7.5,7.9,2022-23
Mason Plumlee,C,LAC,23,2.8,3.8,7.5,6.1,2022-23
Mason Plumlee,C,LAC,23,2.8,3.8,7.5,1.8,2022-23
Kentavious Caldwell-Pope,SG,DEN,76,3.8,8.3,10.8,4.5,2022-23
Jaylen Nowell,SG,MIN,65,4.3,9.6,10.8,1.2,2022-23
Ivica Zubac,C,LAC,76,4.3,6.8,10.8,6.7,2022-23
Talen Horton-Tucker,SG,UTA,65,4,9.4,10.7,0.8,2022-23
Victor Oladipo,SG,MIA,42,3.8,9.6,10.7,0.6,2022-23
Cam Thomas,SG,BRK,57,3.5,8,10.6,1,2022-23
Jeenathan Williams,SG,POR,5,4.8,7.8,10.6,0.3,2022-23
Moritz Wagner,C,ORL,57,3.5,6.9,10.5,3.4,2022-23
Grayson Allen,SG,MIL,72,3.4,7.7,10.4,5.1,2022-23
Killian Hayes,PG,DET,76,4,10.7,10.3,-0.5,2022-23
Tyus Jones,PG,MEM,80,3.9,8.9,10.3,5.7,2022-23
Monte Morris,PG,WAS,62,4,8.3,10.3,4.2,2022-23
Cameron Payne,PG,PHO,48,3.9,9.4,10.3,1.1,2022-23
Reggie Jackson,PG,2TM,68,3.9,9.4,10.2,0.6,2022-23
Reggie Jackson,PG,2TM,68,3.9,9.4,10.2,0.6,2022-23
Reggie Jackson,PG,2TM,68,3.9,9.4,10.2,0.1,2022-23
Reggie Jackson,PG,LAC,52,4.1,9.8,10.9,0.6,2022-23
Reggie Jackson,PG,LAC,52,4.1,9.8,10.9,0.6,2022-23
Reggie Jackson,PG,LAC,52,4.1,9.8,10.9,0.1,2022-23
Reggie Jackson,PG,DEN,16,3.1,8,7.9,0.6,2022-23
Reggie Jackson,PG,DEN,16,3.1,8,7.9,0.6,2022-23
Reggie Jackson,PG,DEN,16,3.1,8,7.9,0.1,2022-23
Malaki Branham,SG,SAS,66,4.1,9.3,10.2,-0.1,2022-23
Doug McDermott,SF,SAS,64,3.7,8.2,10.2,1,2022-23
Patrick Williams,PF,CHI,82,3.8,8.3,10.2,3.5,2022-23
Josh Richardson,SG,2TM,65,3.7,8.5,10.1,1.8,2022-23
Josh Richardson,SG,2TM,65,3.7,8.5,10.1,1,2022-23
Josh Richardson,SG,2TM,65,3.7,8.5,10.1,0.8,2022-23
Josh Richardson,SG,SAS,42,4.2,9.7,11.5,1.8,2022-23
Josh Richardson,SG,SAS,42,4.2,9.7,11.5,1,2022-23
Josh Richardson,SG,SAS,42,4.2,9.7,11.5,0.8,2022-23
Josh Richardson,SG,NOP,23,2.7,6.4,7.5,1.8,2022-23
Josh Richardson,SG,NOP,23,2.7,6.4,7.5,1,2022-23
Josh Richardson,SG,NOP,23,2.7,6.4,7.5,0.8,2022-23
De'Anthony Melton,SG,PHI,77,3.6,8.5,10.1,4.2,2022-23
Aaron Nesmith,SF,IND,73,3.5,8.1,10.1,2,2022-23
James Wiseman,C,2TM,45,4.2,7.5,10,1.4,2022-23
James Wiseman,C,2TM,45,4.2,7.5,10,0.8,2022-23
James Wiseman,C,2TM,45,4.2,7.5,10,0.6,2022-23
James Wiseman,C,GSW,21,2.8,4.5,6.9,1.4,2022-23
James Wiseman,C,GSW,21,2.8,4.5,6.9,0.8,2022-23
James Wiseman,C,GSW,21,2.8,4.5,6.9,0.6,2022-23
James Wiseman,C,DET,24,5.4,10.2,12.7,1.4,2022-23
James Wiseman,C,DET,24,5.4,10.2,12.7,0.8,2022-23
James Wiseman,C,DET,24,5.4,10.2,12.7,0.6,2022-23
Brandon Clarke,PF,MEM,56,4.1,6.2,10,4.5,2022-23
Jonathan Kuminga,PF,GSW,67,3.9,7.4,9.9,2.4,2022-23
Onyeka Okongwu,C,ATL,80,4,6.2,9.9,7.1,2022-23
Luka Šamanić,PF,UTA,7,3.7,8.1,9.9,0.2,2022-23
Shaedon Sharpe,SG,POR,80,3.8,8.1,9.9,1.2,2022-23
Jalen Suggs,SG,ORL,53,3.5,8.4,9.9,1.4,2022-23
Thomas Bryant,C,2TM,59,3.9,6.3,9.8,4.1,2022-23
Thomas Bryant,C,2TM,59,3.9,6.3,9.8,3.8,2022-23
Thomas Bryant,C,2TM,59,3.9,6.3,9.8,0.3,2022-23
Thomas Bryant,C,LAL,41,4.8,7.3,12.1,4.1,2022-23
Thomas Bryant,C,LAL,41,4.8,7.3,12.1,3.8,2022-23
Thomas Bryant,C,LAL,41,4.8,7.3,12.1,0.3,2022-23
Thomas Bryant,C,DEN,18,1.8,3.8,4.6,4.1,2022-23
Thomas Bryant,C,DEN,18,1.8,3.8,4.6,3.8,2022-23
Thomas Bryant,C,DEN,18,1.8,3.8,4.6,0.3,2022-23
Josh Hart,SF,2TM,76,3.6,6.8,9.8,6,2022-23
Josh Hart,SF,2TM,76,3.6,6.8,9.8,3.2,2022-23
Josh Hart,SF,2TM,76,3.6,6.8,9.8,2.8,2022-23
Josh Hart,SF,POR,51,3.6,7.1,9.5,6,2022-23
Josh Hart,SF,POR,51,3.6,7.1,9.5,3.2,2022-23
Josh Hart,SF,POR,51,3.6,7.1,9.5,2.8,2022-23
Josh Hart,SF,NYK,25,3.7,6.3,10.2,6,2022-23
Josh Hart,SF,NYK,25,3.7,6.3,10.2,3.2,2022-23
Josh Hart,SF,NYK,25,3.7,6.3,10.2,2.8,2022-23
Al Horford,C,BOS,63,3.6,7.6,9.8,6.3,2022-23
Herbert Jones,PF,NOP,66,3.6,7.6,9.8,4.2,2022-23
Julian Champagnie,SF,2TM,17,3.5,7.6,9.7,0.4,2022-23
Julian Champagnie,SF,2TM,17,3.5,7.6,9.7,0,2022-23
Julian Champagnie,SF,2TM,17,3.5,7.6,9.7,0.4,2022-23
Julian Champagnie,SF,PHI,2,0,1,0,0.4,2022-23
Julian Champagnie,SF,PHI,2,0,1,0,0,2022-23
Julian Champagnie,SF,PHI,2,0,1,0,0.4,2022-23
Julian Champagnie,SF,SAS,15,3.9,8.5,11,0.4,2022-23
Julian Champagnie,SF,SAS,15,3.9,8.5,11,0,2022-23
Julian Champagnie,SF,SAS,15,3.9,8.5,11,0.4,2022-23
Cam Reddish,SF,2TM,40,3.5,7.8,9.7,0.9,2022-23
Cam Reddish,SF,2TM,40,3.5,7.8,9.7,0.7,2022-23
Cam Reddish,SF,2TM,40,3.5,7.8,9.7,0.3,2022-23
Cam Reddish,SF,NYK,20,3.1,6.8,8.4,0.9,2022-23
Cam Reddish,SF,NYK,20,3.1,6.8,8.4,0.7,2022-23
Cam Reddish,SF,NYK,20,3.1,6.8,8.4,0.3,2022-23
Cam Reddish,SF,POR,20,3.9,8.8,11,0.9,2022-23
Cam Reddish,SF,POR,20,3.9,8.8,11,0.7,2022-23
Cam Reddish,SF,POR,20,3.9,8.8,11,0.3,2022-23
Keita Bates-Diop,PF,SAS,67,3.5,6.9,9.7,2.7,2022-23
Coby White,SG,CHI,74,3.6,8,9.7,3.1,2022-23
Caleb Martin,SF,MIA,71,3.6,7.7,9.6,3.7,2022-23
Isaiah Joe,SG,OKC,73,3.1,7,9.5,3.8,2022-23
Andrew Nembhard,SG,IND,75,3.8,8.6,9.5,1.2,2022-23
Jalen McDaniels,SF,2TM,80,3.5,7.7,9.4,2.7,2022-23
