Player,Salary,season,Player_clean
Tyler Dorsey,201802.0,2022-23,tyler dorsey
Jordan Hall,193027.0,2022-23,jordan hall
Alize Johnson,192293.0,2022-23,alize johnson
Kostas Antetokounmpo,172555.0,2022-23,kostas antetokounmpo
Devon Dotson,169630.0,2022-23,devon dotson
Mac McClung,160856.0,2022-23,mac mcclung
Willie Cauley-Stein,155738.0,2022-23,willie cauley-stein
Nate Darling,152082.0,2022-23,nate darling
Xavier Cooks,140384.0,2022-23,xavier cooks
Keaton Wallace,140384.0,2022-23,keaton wallace
Shaquille Harrison,134862.0,2022-23,shaquille harrison
Feron Hunt,131610.0,2022-23,feron hunt
Lester Quinones,129405.0,2022-23,lester quinones
Troy Williams,122741.0,2022-23,troy williams
Jay Huff,116986.0,2022-23,jay huff
Jamaree Bouyea,116986.0,2022-23,jamaree bouyea
Xavier Moon,116986.0,2022-23,xavier moon
Skylar Mays,116574.0,2022-23,skylar mays
Frank Jackson,113114.0,2022-23,frank jackson
Michael Foster,106288.0,2022-23,michael foster
Jarrell Brantley,105522.0,2022-23,jarrell brantley
Deonte Burton,105522.0,2022-23,deonte burton
Xavier Sneed,102910.0,2022-23,xavier sneed
Justin Lewis,102363.0,2022-23,justin lewis
Lindell Wigginton,99438.0,2022-23,lindell wigginton
Jordan Schakel,96514.0,2022-23,jordan schakel
Demetrius Jackson,92857.0,2022-23,demetrius jackson
Stanley Umude,58493.0,2022-23,stanley umude
Jeenathan Williams,52644.0,2022-23,jeenathan williams
Armoni Brooks,50000.0,2022-23,armoni brooks
DJ Steward,50000.0,2022-23,dj steward
Jay Scrubb,49719.0,2022-23,jay scrubb
Justin Minaya,35096.0,2022-23,justin minaya
Kobi Simmons,32795.0,2022-23,kobi simmons
Gabe York,32171.0,2022-23,gabe york
Ibou Badji,18226.0,2022-23,ibou badji
Tristan Thompson,16700.0,2022-23,tristan thompson
Jacob Gilyard,5849.0,2022-23,jacob gilyard
RaiQuan Gray,5849.0,2022-23,raiquan gray
Kevin Durant,47649433.0,2023-24,kevin durant
Joel Embiid,47607350.0,2023-24,joel embiid
LeBron James,47607350.0,2023-24,lebron james
Nikola Jokic,47607350.0,2023-24,nikola jokic
Bradley Beal,46741590.0,2023-24,bradley beal
Damian Lillard,45640084.0,2023-24,damian lillard
Giannis Antetokounmpo,45640084.0,2023-24,giannis antetokounmpo
Kawhi Leonard,45640084.0,2023-24,kawhi leonard
Paul George,45640084.0,2023-24,paul george
Jimmy Butler,45183960.0,2023-24,jimmy butler
Klay Thompson,43219440.0,2023-24,klay thompson
Rudy Gobert,41000000.0,2023-24,rudy gobert
Fred VanVleet,40806300.0,2023-24,fred vanvleet
Anthony Davis,40600080.0,2023-24,anthony davis
Luka Doncic,40064220.0,2023-24,luka doncic
Zach LaVine,40064220.0,2023-24,zach lavine
Trae Young,40064220.0,2023-24,trae young
Tobias Harris,39270150.0,2023-24,tobias harris
Kyrie Irving,38037037.0,2023-24,kyrie irving
Pascal Siakam,37893408.0,2023-24,pascal siakam
Ben Simmons,37893408.0,2023-24,ben simmons
Jrue Holiday,37620347.0,2023-24,jrue holiday
Devin Booker,36016200.0,2023-24,devin booker
Karl-Anthony Towns,36016200.0,2023-24,karl-anthony towns
Kristaps Porzingis,36016200.0,2023-24,kristaps porzingis
CJ McCollum,35802469.0,2023-24,cj mccollum
James Harden,35680595.0,2023-24,james harden
Zion Williamson,34005250.0,2023-24,zion williamson
Ja Morant,34005250.0,2023-24,ja morant
Darius Garland,34005250.0,2023-24,darius garland
Brandon Ingram,33833400.0,2023-24,brandon ingram
Jamal Murray,33833400.0,2023-24,jamal murray
Shai Gilgeous-Alexander,33386850.0,2023-24,shai gilgeous-alexander
Michael Porter,33386850.0,2023-24,michael porter
Gordon Hayward,33319397.0,2023-24,gordon hayward
Donovan Mitchell,33162030.0,2023-24,donovan mitchell
De'Aaron Fox,32600060.0,2023-24,de'aaron fox
Bam Adebayo,32600060.0,2023-24,bam adebayo
Jayson Tatum,32600060.0,2023-24,jayson tatum
Deandre Ayton,32459438.0,2023-24,deandre ayton
Jaylen Brown,31830357.0,2023-24,jaylen brown
Chris Paul,30800000.0,2023-24,chris paul
Kyle Lowry,29682540.0,2023-24,kyle lowry
Khris Middleton,29320988.0,2023-24,khris middleton
Domantas Sabonis,29300000.0,2023-24,domantas sabonis
DeMar DeRozan,28600000.0,2023-24,demar derozan
Jordan Poole,27955357.0,2023-24,jordan poole
Jerami Grant,27586207.0,2023-24,jerami grant
Jaren Jackson Jr,27102202.0,2023-24,jaren jackson jr
Tyler Herro,27000000.0,2023-24,tyler herro
Julius Randle,26943840.0,2023-24,julius randle
Jalen Brunson,26346666.0,2023-24,jalen brunson
Cameron Johnson,25679348.0,2023-24,cameron johnson
Kyle Kuzma,25568182.0,2023-24,kyle kuzma
John Collins,25340000.0,2023-24,john collins
Brook Lopez,25000000.0,2023-24,brook lopez
Mike Conley,24360000.0,2023-24,mike conley
Andrew Wiggins,24330357.0,2023-24,andrew wiggins
Anfernee Simons,24107143.0,2023-24,anfernee simons
RJ Barrett,23883929.0,2023-24,rj barrett
Jordan Clarkson,23487629.0,2023-24,jordan clarkson
Terry Rozier,23205221.0,2023-24,terry rozier
Dillon Brooks,22627671.0,2023-24,dillon brooks
Malcolm Brogdon,22500000.0,2023-24,malcolm brogdon
Draymond Green,22321429.0,2023-24,draymond green
Bruce Brown,22000000.0,2023-24,bruce brown
Mikal Bridges,21700000.0,2023-24,mikal bridges
Aaron Gordon,21266182.0,2023-24,aaron gordon
Myles Turner,20975000.0,2023-24,myles turner
Clint Capela,20616000.0,2023-24,clint capela
Lonzo Ball,20465117.0,2023-24,lonzo ball
Spencer Dinwiddie,20411797.0,2023-24,spencer dinwiddie
De'Andre Hunter,20089286.0,2023-24,de'andre hunter
Keldon Johnson,20000000.0,2023-24,keldon johnson
Bojan Bogdanovic,20000000.0,2023-24,bojan bogdanovic
Jarrett Allen,20000000.0,2023-24,jarrett allen
Joe Harris,19928571.0,2023-24,joe harris
Jakob Poeltl,19500000.0,2023-24,jakob poeltl
Buddy Hield,19321859.0,2023-24,buddy hield
Evan Fournier,18857143.0,2023-24,evan fournier
Derrick White,18857143.0,2023-24,derrick white
Bogdan Bogdanovic,18700000.0,2023-24,bogdan bogdanovic
OG Anunoby,18642857.0,2023-24,og anunoby
Marcus Smart,18583713.0,2023-24,marcus smart
Gary Trent Jr,18560000.0,2023-24,gary trent jr
Nikola Vucevic,18518519.0,2023-24,nikola vucevic
Dejounte Murray,18214000.0,2023-24,dejounte murray
Duncan Robinson,18154000.0,2023-24,duncan robinson
Norman Powell,18000000.0,2023-24,norman powell
Tim Hardaway Jr,17897728.0,2023-24,tim hardaway jr
Marcus Morris,17612280.0,2023-24,marcus morris
Collin Sexton,17525000.0,2023-24,collin sexton
Jonathan Isaac,17400000.0,2023-24,jonathan isaac
D'Angelo Russell,17307693.0,2023-24,d'angelo russell
Lauri Markkanen,17259999.0,2023-24,lauri markkanen
Harrison Barnes,17000000.0,2023-24,harrison barnes
Markelle Fultz,17000000.0,2023-24,markelle fultz
Davis Bertans,17000000.0,2023-24,davis bertans
Jusuf Nurkic,16875000.0,2023-24,jusuf nurkic
PJ Washington,16847826.0,2023-24,pj washington
Kevin Porter,15860000.0,2023-24,kevin porter
Rui Hachimura,15740741.0,2023-24,rui hachimura
Mitchell Robinson,15681818.0,2023-24,mitchell robinson
Kevin Huerter,15669643.0,2023-24,kevin huerter
Jonas Valanciunas,15435000.0,2023-24,jonas valanciunas
Caris LeVert,15384616.0,2023-24,caris levert
Luguentz Dort,15277778.0,2023-24,luguentz dort
Luke Kennard,14763636.0,2023-24,luke kennard
Kentavious Caldwell-Pope,14704938.0,2023-24,kentavious caldwell-pope
Max Strus,14487684.0,2023-24,max strus
Reggie Bullock,14210528.0,2023-24,reggie bullock
Tyus Jones,14000000.0,2023-24,tyus jones
Doug McDermott,14000000.0,2023-24,doug mcdermott
Dorian Finney-Smith,13932008.0,2023-24,dorian finney-smith
Anthony Edwards,13534817.0,2023-24,anthony edwards
Wendell Carter,13050000.0,2023-24,wendell carter
Gary Harris,13000000.0,2023-24,gary harris
Josh Hart,12960000.0,2023-24,josh hart
Naz Reid,12950400.0,2023-24,naz reid
Steven Adams,12600000.0,2023-24,steven adams
Marvin Bagley,12500000.0,2023-24,marvin bagley
Brandon Clarke,12500000.0,2023-24,brandon clarke
Grant Williams,12405000.0,2023-24,grant williams
Dennis Schroeder,12405000.0,2023-24,dennis schroeder
Daniel Gafford,12402000.0,2023-24,daniel gafford
Kelly Olynyk,12195122.0,2023-24,kelly olynyk
Victor Wembanyama,12160632.0,2023-24,victor wembanyama
James Wiseman,12119440.0,2023-24,james wiseman
Devonte Graham,12100000.0,2023-24,devonte graham
Richaun Holmes,12046020.0,2023-24,richaun holmes
Herb Jones,12015150.0,2023-24,herb jones
Austin Reaves,12015150.0,2023-24,austin reaves
Chris Boucher,11750000.0,2023-24,chris boucher
Nicolas Batum,11710818.0,2023-24,nicolas batum
Bobby Portis,11710818.0,2023-24,bobby portis
Robert Covington,11692308.0,2023-24,robert covington
Paolo Banchero,11608080.0,2023-24,paolo banchero
Robert Williams,11571429.0,2023-24,robert williams
Coby White,11111111.0,2023-24,coby white
Cade Cunningham,11055360.0,2023-24,cade cunningham
Talen Horton-Tucker,11020000.0,2023-24,talen horton-tucker
PJ Tucker,11014500.0,2023-24,pj tucker
Joe Ingles,11000000.0,2023-24,joe ingles
Maxi Kleber,11000000.0,2023-24,maxi kleber
Ivica Zubac,10933333.0,2023-24,ivica zubac
LaMelo Ball,10900635.0,2023-24,lamelo ball
Donte DiVincenzo,10900000.0,2023-24,donte divincenzo
Brandon Miller,10880364.0,2023-24,brandon miller
Terance Mann,10576923.0,2023-24,terance mann
Matisse Thybulle,10500000.0,2023-24,matisse thybulle
Gabe Vincent,10500000.0,2023-24,gabe vincent
Alec Burks,10489600.0,2023-24,alec burks
Chet Holmgren,10386000.0,2023-24,chet holmgren
Larry Nance Jr,10375000.0,2023-24,larry nance jr
Landry Shamet,10250000.0,2023-24,landry shamet
Al Horford,10000000.0,2023-24,al horford
Malik Monk,9945830.0,2023-24,malik monk
Tre Jones,9895833.0,2023-24,tre jones
Jalen Green,9891480.0,2023-24,jalen green
Patrick Williams,9835881.0,2023-24,patrick williams
Monte Morris,9800926.0,2023-24,monte morris
Scoot Henderson,9770904.0,2023-24,scoot henderson
Nicolas Claxton,9625000.0,2023-24,nicolas claxton
Royce O'Neale,9500000.0,2023-24,royce o'neale
Alex Caruso,9460000.0,2023-24,alex caruso
Victor Oladipo,9450000.0,2023-24,victor oladipo
Pat Connaughton,9423869.0,2023-24,pat connaughton
Cameron Payne,9391467.0,2023-24,cameron payne
Jabari Smith,9326520.0,2023-24,jabari smith
Isaiah Hartenstein,9245121.0,2023-24,isaiah hartenstein
Kyle Anderson,9219512.0,2023-24,kyle anderson
Daniel Theis,9108387.0,2023-24,daniel theis
Thaddeus Young,9010371.0,2023-24,thaddeus young
Grayson Allen,8925000.0,2023-24,grayson allen
Isaac Okoro,8920794.0,2023-24,isaac okoro
Evan Mobley,8882640.0,2023-24,evan mobley
Amen Thompson,8809284.0,2023-24,amen thompson
Georges Niang,8800000.0,2023-24,georges niang
Gary Payton II,8715000.0,2023-24,gary payton ii
TJ McConnell,8700000.0,2023-24,tj mcconnell
Keegan Murray,8409000.0,2023-24,keegan murray
Delon Wright,8195122.0,2023-24,delon wright
Onyeka Okongwu,8109063.0,2023-24,onyeka okongwu
Scottie Barnes,8008680.0,2023-24,scottie barnes
Trey Lyles,8000000.0,2023-24,trey lyles
De'Anthony Melton,8000000.0,2023-24,de'anthony melton
Moritz Wagner,8000000.0,2023-24,moritz wagner
Jeff Green,8000000.0,2023-24,jeff green
Jock Landale,8000000.0,2023-24,jock landale
Ausar Thompson,7977420.0,2023-24,ausar thompson
Miles Bridges,7921300.0,2023-24,miles bridges
Danilo Gallinari,7850062.0,2023-24,danilo gallinari
Paul Reed,7723000.0,2023-24,paul reed
Vasilije Micic,7723000.0,2023-24,vasilije micic
Zach Collins,7700000.0,2023-24,zach collins
Jaden Ivey,7614480.0,2023-24,jaden ivey
Cody Martin,7560000.0,2023-24,cody martin
Patrick Mills,7537766.0,2023-24,patrick mills
Kevon Looney,7500000.0,2023-24,kevon looney
Killian Hayes,7413955.0,2023-24,killian hayes
Jalen Suggs,7252080.0,2023-24,jalen suggs
Anthony Black,7245480.0,2023-24,anthony black
Jae'Sean Tate,7000000.0,2023-24,jae'sean tate
Khem Birch,6985000.0,2023-24,khem birch
Bennedict Mathurin,6916080.0,2023-24,bennedict mathurin
Obi Toppin,6803012.0,2023-24,obi toppin
Caleb Martin,6802950.0,2023-24,caleb martin
Cedi Osman,6718842.0,2023-24,cedi osman
Bilal Coulibaly,6614256.0,2023-24,bilal coulibaly
Josh Giddey,6587040.0,2023-24,josh giddey
Ayo Dosunmu,6481482.0,2023-24,ayo dosunmu
Rudy Gay,6479000.0,2023-24,rudy gay
Sasha Vezenkov,6341464.0,2023-24,sasha vezenkov
Shaedon Sharpe,6313800.0,2023-24,shaedon sharpe
Otto Porter,6300000.0,2023-24,otto porter
Deni Avdija,6263188.0,2023-24,deni avdija
Nassir Little,6250000.0,2023-24,nassir little
Bismack Biyombo,6194075.0,2023-24,bismack biyombo
Jevon Carter,6190476.0,2023-24,jevon carter
Kenrich Williams,6175000.0,2023-24,kenrich williams
Jarace Walker,6059460.0,2023-24,jarace walker
Jonathan Kuminga,6012840.0,2023-24,jonathan kuminga
Devin Vassell,5887899.0,2023-24,devin vassell
Tyrese Haliburton,5808435.0,2023-24,tyrese haliburton
Dyson Daniels,5784120.0,2023-24,dyson daniels
Kira Lewis,5722116.0,2023-24,kira lewis
Dean Wade,5709877.0,2023-24,dean wade
Aaron Nesmith,5634257.0,2023-24,aaron nesmith
Aleksej Pokusevski,5574809.0,2023-24,aleksej pokusevski
Taylor Hendricks,5569872.0,2023-24,taylor hendricks
Shake Milton,5552938.0,2023-24,shake milton
JaVale McGee,5544772.0,2023-24,javale mcgee
Cole Anthony,5539771.0,2023-24,cole anthony
Franz Wagner,5508720.0,2023-24,franz wagner
Furkan Korkmaz,5370370.0,2023-24,furkan korkmaz
Josh Primo,5341600.0,2023-24,josh primo
Jeremy Sochan,5316960.0,2023-24,jeremy sochan
Cason Wallace,5291352.0,2023-24,cason wallace
Isaiah Stewart,5266713.0,2023-24,isaiah stewart
Chuma Okeke,5266712.0,2023-24,chuma okeke
Davion Mitchell,5063640.0,2023-24,davion mitchell
Johnny Davis,5050800.0,2023-24,johnny davis
Jalen Smith,5043773.0,2023-24,jalen smith
Jett Howard,5026824.0,2023-24,jett howard
Mason Plumlee,5000000.0,2023-24,mason plumlee
Reggie Jackson,5000000.0,2023-24,reggie jackson
Ziaire Williams,4810200.0,2023-24,ziaire williams
Ousmane Dieng,4798440.0,2023-24,ousmane dieng
Taj Gibson,4776302.0,2023-24,taj gibson
Dereck Lively,4775628.0,2023-24,dereck lively
Josh Green,4765339.0,2023-24,josh green
Nickeil Alexander-Walker,4687500.0,2023-24,nickeil alexander-walker
Jarred Vanderbilt,4640000.0,2023-24,jarred vanderbilt
James Bouknight,4570080.0,2023-24,james bouknight
Jalen Williams,4558680.0,2023-24,jalen williams
Saddiq Bey,4556983.0,2023-24,saddiq bey
Gradey Dick,4536708.0,2023-24,gradey dick
Jalen McDaniels,4516000.0,2023-24,jalen mcdaniels
Taurean Prince,4516000.0,2023-24,taurean prince
Precious Achiuwa,4379526.0,2023-24,precious achiuwa
Tyrese Maxey,4343920.0,2023-24,tyrese maxey
Jalen Duren,4330680.0,2023-24,jalen duren
Danuel House,4310250.0,2023-24,danuel house
Jordan Hawkins,4310196.0,2023-24,jordan hawkins
Mike Muscala,4308297.0,2023-24,mike muscala
Zeke Nnaji,4306281.0,2023-24,zeke nnaji
Immanuel Quickley,4171548.0,2023-24,immanuel quickley
Chris Duarte,4124400.0,2023-24,chris duarte
Ochai Agbaji,4114200.0,2023-24,ochai agbaji
Kobe Bufkin,4094244.0,2023-24,kobe bufkin
Payton Pritchard,4037277.0,2023-24,payton pritchard
Troy Brown,4000000.0,2023-24,troy brown
Dwight Powell,4000000.0,2023-24,dwight powell
Seth Curry,4000000.0,2023-24,seth curry
Moses Moody,3918480.0,2023-24,moses moody
Mark Williams,3908160.0,2023-24,mark williams
Jaden McDaniels,3901399.0,2023-24,jaden mcdaniels
Keyonte George,3889776.0,2023-24,keyonte george
Malachi Flynn,3873024.0,2023-24,malachi flynn
Desmond Bane,3845083.0,2023-24,desmond bane
James Johnson,3839412.0,2023-24,james johnson
Kevin Love,3835738.0,2023-24,kevin love
Russell Westbrook,3835738.0,2023-24,russell westbrook
Ricky Rubio,3722327.0,2023-24,ricky rubio
Corey Kispert,3722040.0,2023-24,corey kispert
AJ Griffin,3712920.0,2023-24,aj griffin
Jalen Hood-Schifino,3695076.0,2023-24,jalen hood-schifino
Amir Coffey,3666667.0,2023-24,amir coffey
Alperen Sengun,3536280.0,2023-24,alperen sengun
Tari Eason,3527160.0,2023-24,tari eason
Jaime Jaquez,3510540.0,2023-24,jaime jaquez
Andre Drummond,3360000.0,2023-24,andre drummond
Trey Murphy,3359280.0,2023-24,trey murphy
Brandin Podziemski,3352404.0,2023-24,brandin podziemski
Dalen Terry,3350760.0,2023-24,dalen terry
Keon Johnson,3342765.0,2023-24,keon johnson
Cameron Whitmore,3218160.0,2023-24,cameron whitmore
Jake LaRavia,3199920.0,2023-24,jake laravia
Kai Jones,3198778.0,2023-24,kai jones
Garrett Temple,3196448.0,2023-24,garrett temple
Robin Lopez,3196448.0,2023-24,robin lopez
Alex Len,3196448.0,2023-24,alex len
Eric Gordon,3196448.0,2023-24,eric gordon
Cody Zeller,3196448.0,2023-24,cody zeller
Patrick Beverley,3196448.0,2023-24,patrick beverley
Jae Crowder,3196448.0,2023-24,jae crowder
Derrick Rose,3196448.0,2023-24,derrick rose
Cory Joseph,3196448.0,2023-24,cory joseph
DeAndre Jordan,3196448.0,2023-24,deandre jordan
Justin Holiday,3196448.0,2023-24,justin holiday
Markieff Morris,3196448.0,2023-24,markieff morris
Tristan Thompson,3196448.0,2023-24,tristan thompson
Ishmael Smith,3196448.0,2023-24,ishmael smith
Wesley Matthews,3196448.0,2023-24,wesley matthews
Tre Mann,3191400.0,2023-24,tre mann
Usman Garuba,3159790.0,2023-24,usman garuba
Noah Clowney,3089460.0,2023-24,noah clowney
Malaki Branham,3071880.0,2023-24,malaki branham
Simone Fontecchio,3044872.0,2023-24,simone fontecchio
Jordan Nwora,3000000.0,2023-24,jordan nwora
Julian Champagnie,3000000.0,2023-24,julian champagnie
Dante Exum,3000000.0,2023-24,dante exum
Dariq Whitehead,2966040.0,2023-24,dariq whitehead
Christian Braun,2949120.0,2023-24,christian braun
Jalen Johnson,2925360.0,2023-24,jalen johnson
Kelly Oubre,2891467.0,2023-24,kelly oubre
Josh Richardson,2891467.0,2023-24,josh richardson
Boban Marjanovic,2891467.0,2023-24,boban marjanovic
Kris Murray,2847504.0,2023-24,kris murray
Andrew Nicholson,2844429.0,2023-24,andrew nicholson
Walker Kessler,2831160.0,2023-24,walker kessler
TyTy Washington,2830222.0,2023-24,tyty washington
Josh Okogie,2815937.0,2023-24,josh okogie
Omer Yurtseven,2800000.0,2023-24,omer yurtseven
Dewayne Dedmon,2748674.0,2023-24,dewayne dedmon
Olivier-Maxence Prosper,2733720.0,2023-24,olivier-maxence prosper
Josh Christopher,2732920.0,2023-24,josh christopher
David Roddy,2718240.0,2023-24,david roddy
Malik Beasley,2709849.0,2023-24,malik beasley
Christian Wood,2709849.0,2023-24,christian wood
Dario Saric,2709849.0,2023-24,dario saric
Derrick Jones,2709849.0,2023-24,derrick jones
Chimezie Metu,2697258.0,2023-24,chimezie metu
Isaiah Jackson,2696280.0,2023-24,isaiah jackson
Marcus Sasser,2624028.0,2023-24,marcus sasser
MarJon Beauchamp,2609400.0,2023-24,marjon beauchamp
Charles Bassey,2600000.0,2023-24,charles bassey
Damian Jones,2586665.0,2023-24,damian jones
Kenneth Lofton,2586618.0,2023-24,kenneth lofton
Kris Dunn,2586484.0,2023-24,kris dunn
Bruno Fernando,2581522.0,2023-24,bruno fernando
Jeremiah Robinson-Earl,2548843.0,2023-24,jeremiah robinson-earl
Ben Sheppard,2537172.0,2023-24,ben sheppard
Damion Lee,2528233.0,2023-24,damion lee
Thomas Bryant,2528233.0,2023-24,thomas bryant
Ryan Arcidiacono,2528233.0,2023-24,ryan arcidiacono
Torrey Craig,2528233.0,2023-24,torrey craig
Frank Ntilikina,2528233.0,2023-24,frank ntilikina
Dennis Smith,2528233.0,2023-24,dennis smith
Blake Wesley,2504640.0,2023-24,blake wesley
Lamar Stevens,2492354.0,2023-24,lamar stevens
Nick Smith,2463912.0,2023-24,nick smith
Brice Sensabaugh,2448600.0,2023-24,brice sensabaugh
Ty Jerome,2439025.0,2023-24,ty jerome
Julian Strawther,2431044.0,2023-24,julian strawther
Tristan Vukcevic,2424892.0,2023-24,tristan vukcevic
Wendell Moore,2421720.0,2023-24,wendell moore
Jordan McLaughlin,2420000.0,2023-24,jordan mclaughlin
Kobe Brown,2413356.0,2023-24,kobe brown
Luke Kornet,2413304.0,2023-24,luke kornet
John Konchar,2400000.0,2023-24,john konchar
Quentin Grimes,2385720.0,2023-24,quentin grimes
Nikola Jovic,2352000.0,2023-24,nikola jovic
Drew Eubanks,2346614.0,2023-24,drew eubanks
Mo Bamba,2346614.0,2023-24,mo bamba
Thanasis Antetokounmpo,2346614.0,2023-24,thanasis antetokounmpo
Yuta Watanabe,2346614.0,2023-24,yuta watanabe
Aaron Holiday,2346614.0,2023-24,aaron holiday
Keita Bates-Diop,2346614.0,2023-24,keita bates-diop
Lonnie Walker,2346614.0,2023-24,lonnie walker
Sviatoslav Mykhailiuk,2346614.0,2023-24,sviatoslav mykhailiuk
Patrick Baldwin,2337720.0,2023-24,patrick baldwin
Harry Giles,2306554.0,2023-24,harry giles
Bones Hyland,2306400.0,2023-24,bones hyland
Peyton Watson,2303520.0,2023-24,peyton watson
Cam Thomas,2240160.0,2023-24,cam thomas
Vlatko Cancar,2234359.0,2023-24,vlatko cancar
Vince Williams Jr,2232308.0,2023-24,vince williams jr
Jaden Springer,2226240.0,2023-24,jaden springer
Day'Ron Sharpe,2210040.0,2023-24,day'ron sharpe
Jordan Goodwin,2208045.0,2023-24,jordan goodwin
Santiago Aldama,2194200.0,2023-24,santiago aldama
Moses Brown,2165000.0,2023-24,moses brown
Bol Bol,2165000.0,2023-24,bol bol
Jaxson Hayes,2165000.0,2023-24,jaxson hayes
Cam Reddish,2165000.0,2023-24,cam reddish
Oshae Brissett,2165000.0,2023-24,oshae brissett
Kevin Knox,2144320.0,2023-24,kevin knox
Andrew Nembhard,2131905.0,2023-24,andrew nembhard
Luka Samanic,2066585.0,2023-24,luka samanic
Goga Bitadze,2066585.0,2023-24,goga bitadze
Matt Ryan,2059782.0,2023-24,matt ryan
Sandro Mamukelashvili,2019706.0,2023-24,sandro mamukelashvili
Colby Jones,2019706.0,2023-24,colby jones
Dalano Banton,2019706.0,2023-24,dalano banton
Montrezl Harrell,2019706.0,2023-24,montrezl harrell
Terry Taylor,2019706.0,2023-24,terry taylor
Trendon Watford,2019706.0,2023-24,trendon watford
Caleb Houstan,2000000.0,2023-24,caleb houstan
Jaylin Williams,2000000.0,2023-24,jaylin williams
Garrison Mathews,2000000.0,2023-24,garrison mathews
Anthony Gill,1997238.0,2023-24,anthony gill
Isaiah Joe,1997238.0,2023-24,isaiah joe
